LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.85,110.75,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,221.4171,Rendah,20 - 50 mm,35.2664
-7.85,110.05,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,187.0718,Rendah,50 - 100 mm,65.0243
-7.85,110.1,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,191.023,Rendah,50 - 100 mm,50.3167
-7.85,110.15,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,193.8998,Rendah,20 - 50 mm,41.9987
-7.85,110.2,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,195.9324,Rendah,20 - 50 mm,38.6198
-7.8,110.4,> 200%,JUL,Bantul,Daerah Istimewa Yogyakarta,Atas Normal,204.4869,Rendah,20 - 50 mm,38.8821
-7.8,110.55,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,208.3695,Rendah,20 - 50 mm,48.7587
-7.8,110.6,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,208.1686,Rendah,20 - 50 mm,47.4409
-7.8,110.65,> 200%,JUL,Gunungkidul,Daerah Istimewa Yogyakarta,Atas Normal,209.667,Rendah,20 - 50 mm,40.0678
-7.8,110.35,150% - 200%,JUL,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Atas Normal,198.3317,Rendah,20 - 50 mm,40.0366
-7.8,110.1,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,186.7249,Rendah,50 - 100 mm,51.1596
-7.8,110.15,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,189.5367,Rendah,20 - 50 mm,43.9695
-7.8,110.2,150% - 200%,JUL,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,191.272,Rendah,20 - 50 mm,40.8999
