LAT,LON,KelasSH,Bulan,Id Kabkot,Id Prov,KategoriSH,SH,KategoriCH,KelasCH,CH
-7.7,110.35,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,352.6434,Rendah,50 - 100 mm,65.5434
-7.7,110.4,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,364.6764,Rendah,50 - 100 mm,79.0854
-7.7,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,369.4563,Rendah,50 - 100 mm,89.1694
-7.65,110.15,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,359.0866,Rendah,50 - 100 mm,82.5541
-7.65,110.25,> 200%,AGT,Kulon Progo,Daerah Istimewa Yogyakarta,Atas Normal,364.5593,Rendah,50 - 100 mm,68.8891
-7.65,110.35,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,375.9003,Rendah,50 - 100 mm,84.3926
-7.65,110.4,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,388.9361,Rendah,50 - 100 mm,96.2249
-7.65,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,390.8346,Menengah,100 - 150 mm,119.5834
-7.6,110.4,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,407.0447,Menengah,100 - 150 mm,102.4987
-7.6,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,407.224,Menengah,100 - 150 mm,113.366
-7.55,110.45,> 200%,AGT,Sleman,Daerah Istimewa Yogyakarta,Atas Normal,414.1497,Menengah,100 - 150 mm,103.0354
