LAT,LON,KelasSH_feb,Bulan_feb,Id Prov,KategoriSH_feb,SH_feb,KelasCH_feb,KategoriCH_feb,CH_feb,KelasSH_des,Bulan_des,KategoriSH_des,SH_des,KategoriCH_des,KelasCH_des,CH_des,KelasSH_jan,Bulan_jan,KategoriSH_jan,SH_jan,CH_jan,KelasCH_jan,KategoriCH_jan,rainfall,Sifat_Hujan_Rata,temperature,humidity,predicted_usable
-8.0,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.1923,300 - 400 mm,Tinggi,347.305,115% - 150%,DES,Atas Normal,123.5244,Tinggi,300 - 400 mm,352.9523,85% - 115%,JAN,Normal,104.8765,360.1992,300 - 400 mm,Tinggi,353.4855,111.19773333333336,24.70940170940171,91.24786324786324,pepaya
-8.0,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.6965,300 - 400 mm,Tinggi,359.828,115% - 150%,DES,Atas Normal,123.4271,Tinggi,300 - 400 mm,344.8428,85% - 115%,JAN,Normal,105.2847,360.9178,300 - 400 mm,Tinggi,355.19620000000003,111.1361,24.70940170940171,91.24786324786324,pepaya
-8.0,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.2803,300 - 400 mm,Tinggi,343.2526,115% - 150%,DES,Atas Normal,124.1295,Tinggi,300 - 400 mm,353.4026,85% - 115%,JAN,Normal,104.6183,356.0078,300 - 400 mm,Tinggi,350.8876666666667,111.00936666666666,24.70940170940171,91.24786324786324,pepaya
-8.0,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.601,300 - 400 mm,Tinggi,343.8902,115% - 150%,DES,Atas Normal,123.8363,Tinggi,300 - 400 mm,366.8284,85% - 115%,JAN,Normal,104.8477,353.58,300 - 400 mm,Tinggi,354.7662,111.09499999999998,24.70940170940171,91.24786324786324,pepaya
-8.0,110.75,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.2713,300 - 400 mm,Tinggi,314.8377,115% - 150%,DES,Atas Normal,122.8024,Tinggi,300 - 400 mm,339.7653,85% - 115%,JAN,Normal,103.897,325.6293,300 - 400 mm,Tinggi,326.74410000000006,110.32356666666668,24.70940170940171,91.24786324786324,pepaya
-7.95,110.45,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.6961,300 - 400 mm,Tinggi,377.604,115% - 150%,DES,Atas Normal,123.1556,Tinggi,400 - 500 mm,417.4177,85% - 115%,JAN,Normal,103.9185,367.7752,300 - 400 mm,Tinggi,387.5989666666667,110.59006666666666,24.70940170940171,91.24786324786324,pepaya
-7.95,110.5,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.845,300 - 400 mm,Tinggi,362.6179,115% - 150%,DES,Atas Normal,122.3145,Tinggi,300 - 400 mm,378.8663,85% - 115%,JAN,Normal,104.7021,362.2005,300 - 400 mm,Tinggi,367.8949,110.95386666666666,24.70940170940171,91.24786324786324,pepaya
-7.95,110.55,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.8241,300 - 400 mm,Tinggi,379.3519,115% - 150%,DES,Atas Normal,121.5892,Tinggi,300 - 400 mm,351.3973,85% - 115%,JAN,Normal,105.8328,363.557,300 - 400 mm,Tinggi,364.7687333333333,111.08203333333334,24.70940170940171,91.24786324786324,pepaya
-7.95,110.6,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,105.3449,300 - 400 mm,Tinggi,369.0836,115% - 150%,DES,Atas Normal,122.2305,Tinggi,300 - 400 mm,337.9053,85% - 115%,JAN,Normal,106.0752,369.9316,300 - 400 mm,Tinggi,358.97350000000006,111.21686666666666,24.70940170940171,91.24786324786324,pepaya
-7.95,110.65,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,104.324,300 - 400 mm,Tinggi,339.9212,115% - 150%,DES,Atas Normal,122.1145,Tinggi,300 - 400 mm,331.2782,85% - 115%,JAN,Normal,106.1097,354.1975,300 - 400 mm,Tinggi,341.7989666666667,110.8494,24.70940170940171,91.24786324786324,pepaya
-7.95,110.7,85% - 115%,FEB,Daerah Istimewa Yogyakarta,Normal,103.2509,200 - 300 mm,Menengah,299.9613,115% - 150%,DES,Atas Normal,120.2684,Menengah,200 - 300 mm,288.6795,85% - 115%,JAN,Normal,105.1809,315.4581,300 - 400 mm,Tinggi,301.3663,109.56673333333332,24.70940170940171,91.24786324786324,pepaya
